Year,Month,Day,Daily global solar exposure (MJ/m*m)
2010,7,1,10.6
2010,7,2,3.8
2010,7,3,11.3
2010,7,4,7.7
2010,7,5,5.6
2010,7,6,7.9
2010,7,7,4.5
2010,7,8,5.9
2010,7,9,4.0
2010,7,10,9.2
2010,7,11,5.0
2010,7,12,3.2
2010,7,13,3.4
2010,7,14,11.1
2010,7,15,11.9
2010,7,16,12.0
2010,7,17,12.0
2010,7,18,12.2
2010,7,19,5.6
2010,7,20,11.0
2010,7,21,11.1
2010,7,22,12.1
2010,7,23,10.9
2010,7,24,8.8
2010,7,25,9.4
2010,7,26,8.8
2010,7,27,4.8
2010,7,28,2.1
2010,7,29,4.9
2010,7,30,7.1
2010,7,31,11.3
2010,8,1,13.6
2010,8,2,10.7
2010,8,3,11.4
2010,8,4,14.1
2010,8,5,14.2
2010,8,6,13.8
2010,8,7,14.8
2010,8,8,14.6
2010,8,9,15.1
2010,8,10,4.0
2010,8,11,13.0
2010,8,12,12.5
2010,8,13,15.6
2010,8,14,15.9
2010,8,15,14.0
2010,8,16,15.4
2010,8,17,16.8
2010,8,18,16.2
2010,8,19,13.3
2010,8,20,17.1
2010,8,21,14.0
2010,8,22,15.5
2010,8,23,2.9
2010,8,24,16.2
2010,8,25,17.7
2010,8,26,13.0
2010,8,27,11.7
2010,8,28,18.2
2010,8,29,18.2
2010,8,30,15.7
2010,8,31,18.5
2010,9,1,15.3
2010,9,2,14.1
2010,9,3,4.1
2010,9,4,6.8
2010,9,5,18.9
2010,9,6,17.6
2010,9,7,15.0
2010,9,8,18.9
2010,9,9,6.9
2010,9,10,15.1
2010,9,11,20.5
2010,9,12,19.4
2010,9,13,15.6
2010,9,14,13.4
2010,9,15,19.4
2010,9,16,20.0
2010,9,17,21.4
2010,9,18,21.7
2010,9,19,12.6
2010,9,20,18.6
2010,9,21,21.8
2010,9,22,21.9
2010,9,23,13.2
2010,9,24,21.5
2010,9,25,21.8
2010,9,26,23.2
2010,9,27,17.2
2010,9,28,23.5
2010,9,29,21.7
2010,9,30,23.1
2010,10,1,17.7
2010,10,2,10.0
2010,10,3,7.1
2010,10,4,7.9
2010,10,5,16.4
2010,10,6,13.8
2010,10,7,12.8
2010,10,8,7.6
2010,10,9,10.9
2010,10,10,12.5
2010,10,11,15.9
2010,10,12,22.0
2010,10,13,14.1
2010,10,14,16.5
2010,10,15,7.7
2010,10,16,21.1
2010,10,17,27.9
2010,10,18,27.8
2010,10,19,12.0
2010,10,20,23.8
2010,10,21,26.7
2010,10,22,12.7
