Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,061428,2016,06,24,
IDCJAC0016,061428,2016,06,25,
IDCJAC0016,061428,2016,06,26,
IDCJAC0016,061428,2016,06,27,
IDCJAC0016,061428,2016,06,28,
IDCJAC0016,061428,2016,06,29,
IDCJAC0016,061428,2016,06,30,
IDCJAC0016,061428,2016,07,01,
IDCJAC0016,061428,2016,07,02,
IDCJAC0016,061428,2016,07,03,
IDCJAC0016,061428,2016,07,04,
IDCJAC0016,061428,2016,07,05,
IDCJAC0016,061428,2016,07,06,
IDCJAC0016,061428,2016,07,07,6.9
IDCJAC0016,061428,2016,07,08,4.9
IDCJAC0016,061428,2016,07,09,9.7
IDCJAC0016,061428,2016,07,10,10.4
IDCJAC0016,061428,2016,07,11,11.3
IDCJAC0016,061428,2016,07,12,10.7
IDCJAC0016,061428,2016,07,13,12.1
IDCJAC0016,061428,2016,07,14,12.2
IDCJAC0016,061428,2016,07,15,15.1
IDCJAC0016,061428,2016,07,16,9.5
IDCJAC0016,061428,2016,07,17,8.7
IDCJAC0016,061428,2016,07,18,12.1
IDCJAC0016,061428,2016,07,19,10.6
IDCJAC0016,061428,2016,07,20,3.8
IDCJAC0016,061428,2016,07,21,8.3
IDCJAC0016,061428,2016,07,22,12.1
IDCJAC0016,061428,2016,07,23,13.0
IDCJAC0016,061428,2016,07,24,8.2
IDCJAC0016,061428,2016,07,25,13.2
IDCJAC0016,061428,2016,07,26,13.3
IDCJAC0016,061428,2016,07,27,13.2
IDCJAC0016,061428,2016,07,28,13.5
IDCJAC0016,061428,2016,07,29,13.5
IDCJAC0016,061428,2016,07,30,13.6
IDCJAC0016,061428,2016,07,31,11.9
IDCJAC0016,061428,2016,08,01,11.0
IDCJAC0016,061428,2016,08,02,7.8
IDCJAC0016,061428,2016,08,03,5.9
IDCJAC0016,061428,2016,08,04,9.4
IDCJAC0016,061428,2016,08,05,8.6
IDCJAC0016,061428,2016,08,06,7.1
IDCJAC0016,061428,2016,08,07,12.0
IDCJAC0016,061428,2016,08,08,12.6
IDCJAC0016,061428,2016,08,09,14.4
IDCJAC0016,061428,2016,08,10,15.0
IDCJAC0016,061428,2016,08,11,15.0
IDCJAC0016,061428,2016,08,12,15.2
IDCJAC0016,061428,2016,08,13,15.4
IDCJAC0016,061428,2016,08,14,14.9
IDCJAC0016,061428,2016,08,15,15.4
IDCJAC0016,061428,2016,08,16,15.8
IDCJAC0016,061428,2016,08,17,15.9
IDCJAC0016,061428,2016,08,18,16.1
IDCJAC0016,061428,2016,08,19,16.0
IDCJAC0016,061428,2016,08,20,16.2
IDCJAC0016,061428,2016,08,21,16.5
IDCJAC0016,061428,2016,08,22,6.2
IDCJAC0016,061428,2016,08,23,10.5
IDCJAC0016,061428,2016,08,24,4.3
IDCJAC0016,061428,2016,08,25,11.1
IDCJAC0016,061428,2016,08,26,14.0
IDCJAC0016,061428,2016,08,27,16.2
IDCJAC0016,061428,2016,08,28,17.6
IDCJAC0016,061428,2016,08,29,15.8
IDCJAC0016,061428,2016,08,30,15.8
IDCJAC0016,061428,2016,08,31,7.4
IDCJAC0016,061428,2016,09,01,18.0
IDCJAC0016,061428,2016,09,02,4.2
IDCJAC0016,061428,2016,09,03,18.4
IDCJAC0016,061428,2016,09,04,17.8
IDCJAC0016,061428,2016,09,05,18.8
IDCJAC0016,061428,2016,09,06,19.0
IDCJAC0016,061428,2016,09,07,18.5
IDCJAC0016,061428,2016,09,08,17.5
IDCJAC0016,061428,2016,09,09,18.7
IDCJAC0016,061428,2016,09,10,17.6
IDCJAC0016,061428,2016,09,11,19.2
IDCJAC0016,061428,2016,09,12,19.3
IDCJAC0016,061428,2016,09,13,12.8
IDCJAC0016,061428,2016,09,14,9.6
IDCJAC0016,061428,2016,09,15,18.6
IDCJAC0016,061428,2016,09,16,18.3
IDCJAC0016,061428,2016,09,17,18.3
IDCJAC0016,061428,2016,09,18,4.7
IDCJAC0016,061428,2016,09,19,21.0
IDCJAC0016,061428,2016,09,20,18.8
IDCJAC0016,061428,2016,09,21,9.2
IDCJAC0016,061428,2016,09,22,17.3
IDCJAC0016,061428,2016,09,23,10.3
IDCJAC0016,061428,2016,09,24,22.0
IDCJAC0016,061428,2016,09,25,18.8
IDCJAC0016,061428,2016,09,26,22.5
IDCJAC0016,061428,2016,09,27,19.5
IDCJAC0016,061428,2016,09,28,22.9
IDCJAC0016,061428,2016,09,29,8.1
IDCJAC0016,061428,2016,09,30,20.1
IDCJAC0016,061428,2016,10,01,20.9
IDCJAC0016,061428,2016,10,02,23.5
IDCJAC0016,061428,2016,10,03,10.1
IDCJAC0016,061428,2016,10,04,23.9
IDCJAC0016,061428,2016,10,05,24.1
IDCJAC0016,061428,2016,10,06,24.1
IDCJAC0016,061428,2016,10,07,23.4
IDCJAC0016,061428,2016,10,08,11.5
IDCJAC0016,061428,2016,10,09,22.1
IDCJAC0016,061428,2016,10,10,20.5
IDCJAC0016,061428,2016,10,11,25.1
IDCJAC0016,061428,2016,10,12,25.2
IDCJAC0016,061428,2016,10,13,11.3
IDCJAC0016,061428,2016,10,14,24.1
IDCJAC0016,061428,2016,10,15,25.8
IDCJAC0016,061428,2016,10,16,25.9
IDCJAC0016,061428,2016,10,17,4.4
IDCJAC0016,061428,2016,10,18,26.3
IDCJAC0016,061428,2016,10,19,22.8
IDCJAC0016,061428,2016,10,20,18.9
IDCJAC0016,061428,2016,10,21,25.0
IDCJAC0016,061428,2016,10,22,6.3
IDCJAC0016,061428,2016,10,23,21.6
IDCJAC0016,061428,2016,10,24,26.2
IDCJAC0016,061428,2016,10,25,27.3
IDCJAC0016,061428,2016,10,26,21.9
IDCJAC0016,061428,2016,10,27,23.6
IDCJAC0016,061428,2016,10,28,5.5
IDCJAC0016,061428,2016,10,29,23.5
IDCJAC0016,061428,2016,10,30,17.5
IDCJAC0016,061428,2016,10,31,27.5
IDCJAC0016,061428,2016,11,01,22.8
IDCJAC0016,061428,2016,11,02,28.3
IDCJAC0016,061428,2016,11,03,28.5
IDCJAC0016,061428,2016,11,04,28.6
IDCJAC0016,061428,2016,11,05,28.3
IDCJAC0016,061428,2016,11,06,28.8
IDCJAC0016,061428,2016,11,07,28.8
IDCJAC0016,061428,2016,11,08,24.0
IDCJAC0016,061428,2016,11,09,15.3
IDCJAC0016,061428,2016,11,10,26.0
IDCJAC0016,061428,2016,11,11,27.5
IDCJAC0016,061428,2016,11,12,22.3
IDCJAC0016,061428,2016,11,13,29.1
IDCJAC0016,061428,2016,11,14,20.9
IDCJAC0016,061428,2016,11,15,22.2
IDCJAC0016,061428,2016,11,16,29.2
IDCJAC0016,061428,2016,11,17,25.4
IDCJAC0016,061428,2016,11,18,30.2
