Year,Month,Day,Daily global solar exposure (MJ/m*m)
2010,7,1,10.5
2010,7,2,4.5
2010,7,3,11.0
2010,7,4,8.4
2010,7,5,5.8
2010,7,6,6.1
2010,7,7,6.1
2010,7,8,6.3
2010,7,9,5.7
2010,7,10,9.0
2010,7,11,5.5
2010,7,12,4.4
2010,7,13,5.0
2010,7,14,10.9
2010,7,15,11.6
2010,7,16,11.3
2010,7,17,11.5
2010,7,18,11.9
2010,7,19,7.8
2010,7,20,11.5
2010,7,21,8.5
2010,7,22,10.6
2010,7,23,10.3
2010,7,24,9.2
2010,7,25,8.2
2010,7,26,10.1
2010,7,27,4.4
2010,7,28,2.6
2010,7,29,3.6
2010,7,30,9.9
2010,7,31,10.9
2010,8,1,13.4
2010,8,2,11.6
2010,8,3,7.9
2010,8,4,13.4
2010,8,5,13.8
2010,8,6,14.4
2010,8,7,14.4
2010,8,8,13.0
2010,8,9,14.7
2010,8,10,3.0
2010,8,11,12.6
2010,8,12,13.1
2010,8,13,13.2
2010,8,14,15.6
2010,8,15,13.0
2010,8,16,15.4
2010,8,17,16.4
2010,8,18,15.2
2010,8,19,15.2
2010,8,20,16.9
2010,8,21,16.4
2010,8,22,16.6
2010,8,23,3.9
2010,8,24,16.9
2010,8,25,17.3
2010,8,26,14.2
2010,8,27,14.4
2010,8,28,18.1
2010,8,29,14.9
2010,8,30,14.4
2010,8,31,17.0
2010,9,1,11.1
2010,9,2,7.7
2010,9,3,4.1
2010,9,4,3.5
2010,9,5,18.9
2010,9,6,17.4
2010,9,7,15.2
2010,9,8,18.1
2010,9,9,8.6
2010,9,10,15.9
2010,9,11,20.2
2010,9,12,17.3
2010,9,13,14.9
2010,9,14,8.1
2010,9,15,16.4
2010,9,16,19.9
2010,9,17,21.5
2010,9,18,21.6
2010,9,19,12.6
2010,9,20,11.4
2010,9,21,20.9
2010,9,22,20.3
2010,9,23,6.6
2010,9,24,20.4
2010,9,25,22.1
2010,9,26,22.7
2010,9,27,19.0
2010,9,28,23.4
2010,9,29,18.4
2010,9,30,24.0
2010,10,1,13.7
2010,10,2,7.6
2010,10,3,8.3
2010,10,4,9.4
2010,10,5,15.8
2010,10,6,15.3
2010,10,7,11.0
2010,10,8,9.4
2010,10,9,5.3
2010,10,10,12.3
2010,10,11,17.7
2010,10,12,17.6
2010,10,13,14.1
2010,10,14,22.4
2010,10,15,4.7
2010,10,16,22.4
2010,10,17,27.2
2010,10,18,27.3
2010,10,19,8.4
2010,10,20,24.5
2010,10,21,25.8
2010,10,22,20.7
2010,10,23,20.0
2010,10,24,3.5
2010,10,25,12.2
2010,10,26,21.1
2010,10,27,21.5
2010,10,28,7.5
2010,10,29,15.9
2010,10,30,24.6
2010,10,31,21.8
2010,11,1,5.2
2010,11,2,12.1
2010,11,3,25.6
2010,11,4,11.2
2010,11,5,8.1
2010,11,6,11.9
